"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
HHS Regions,Region 9,2022,31,6466,112,1,1.7476,1.73214,0.0154655
HHS Regions,Region 1,2022,32,3207,8,0,0.249454,0.249454,0
HHS Regions,Region 9,2022,32,6442,109,2,1.72307,1.69202,0.0310463
HHS Regions,Region 1,2022,33,3352,5,0,0.149165,0.149165,0
HHS Regions,Region 9,2022,33,6749,95,3,1.45207,1.40762,0.044451
HHS Regions,Region 1,2022,34,3279,10,1,0.335468,0.304971,0.0304971
HHS Regions,Region 9,2022,34,7039,134,5,1.97471,1.90368,0.0710328
HHS Regions,Region 1,2022,35,3203,11,1,0.374649,0.343428,0.0312207
HHS Regions,Region 9,2022,35,7462,121,2,1.64835,1.62155,0.0268025
HHS Regions,Region 1,2022,36,3383,11,0,0.325155,0.325155,0
HHS Regions,Region 9,2022,36,7182,154,7,2.24172,2.14425,0.0974659
HHS Regions,Region 1,2022,37,3782,7,0,0.185087,0.185087,0
HHS Regions,Region 9,2022,37,7530,140,4,1.91235,1.85923,0.0531208
HHS Regions,Region 1,2022,38,3962,18,0,0.454316,0.454316,0
HHS Regions,Region 9,2022,38,8317,167,6,2.08008,2.00794,0.0721414
HHS Regions,Region 1,2022,39,4230,18,0,0.425532,0.425532,0
HHS Regions,Region 9,2022,39,8620,290,6,3.43387,3.36427,0.0696056
HHS Regions,Region 1,2022,40,4684,30,0,0.640478,0.640478,0
HHS Regions,Region 9,2022,40,12272,356,7,2.95795,2.90091,0.0570404
HHS Regions,Region 1,2022,41,4707,35,2,0.786063,0.743573,0.0424899
HHS Regions,Region 9,2022,41,14044,520,6,3.74537,3.70265,0.0427229
HHS Regions,Region 1,2022,42,5231,61,2,1.20436,1.16613,0.0382336
HHS Regions,Region 9,2022,42,16036,745,15,4.73934,4.6458,0.0935395
HHS Regions,Region 1,2022,43,5885,124,4,2.17502,2.10705,0.0679694
HHS Regions,Region 9,2022,43,19859,1109,9,5.62969,5.58437,0.0453195
HHS Regions,Region 1,2022,44,6461,298,2,4.64324,4.61229,0.030955
HHS Regions,Region 9,2022,44,22469,2240,10,10.0138,9.96929,0.0445058
HHS Regions,Region 1,2022,45,6828,467,2,6.86878,6.83948,0.0292912
HHS Regions,Region 9,2022,45,27972,3863,18,13.8746,13.8102,0.0643501
HHS Regions,Region 1,2022,46,7749,815,3,10.5562,10.5175,0.0387147
HHS Regions,Region 9,2022,46,32549,5401,11,16.6272,16.5934,0.0337952
HHS Regions,Region 1,2022,47,8740,1959,4,22.46,22.4142,0.0457666
HHS Regions,Region 9,2022,47,29484,6151,10,20.8961,20.8622,0.0339167
HHS Regions,Region 1,2022,48,11472,3069,6,26.8044,26.7521,0.0523013
HHS Regions,Region 9,2022,48,36829,7766,17,21.1328,21.0866,0.0461593
HHS Regions,Region 1,2022,49,10722,3049,4,28.4742,28.4369,0.0373065
HHS Regions,Region 9,2022,49,33057,6835,18,20.7309,20.6764,0.0544514
HHS Regions,Region 1,2022,50,10539,2758,15,26.3118,26.1695,0.142328
HHS Regions,Region 9,2022,50,30044,5411,10,18.0435,18.0103,0.0332845
HHS Regions,Region 1,2022,51,10017,2307,14,23.1706,23.0308,0.139762
HHS Regions,Region 9,2022,51,28016,4610,9,16.487,16.4549,0.0321245
HHS Regions,Region 1,2022,52,9299,1504,10,16.2813,16.1738,0.107538
HHS Regions,Region 9,2022,52,24251,2976,18,12.3459,12.2717,0.0742237
HHS Regions,Region 1,2023,1,8398,789,20,9.63325,9.39509,0.238152
HHS Regions,Region 9,2023,1,18282,1348,9,7.4226,7.37337,0.0492287
HHS Regions,Region 1,2023,2,7495,337,24,4.81654,4.49633,0.320213
HHS Regions,Region 9,2023,2,17346,632,13,3.71844,3.64349,0.0749452
HHS Regions,Region 1,2023,3,6772,217,30,3.64737,3.20437,0.443001
HHS Regions,Region 9,2023,3,15065,342,13,2.35646,2.27016,0.0862927
HHS Regions,Region 1,2023,4,6954,125,19,2.07075,1.79753,0.273224
HHS Regions,Region 9,2023,4,15872,268,16,1.78931,1.68851,0.100806
HHS Regions,Region 1,2023,5,6343,80,12,1.45042,1.26123,0.189185
HHS Regions,Region 9,2023,5,15888,234,21,1.60498,1.47281,0.132175
HHS Regions,Region 1,2023,6,6509,61,14,1.15225,0.937164,0.215087
HHS Regions,Region 9,2023,6,16179,192,23,1.32888,1.18672,0.14216
HHS Regions,Region 1,2023,7,6534,45,30,1.14784,0.688705,0.459137
HHS Regions,Region 9,2023,7,15340,111,16,0.827901,0.723598,0.104302
HHS Regions,Region 1,2023,8,6062,60,23,1.36919,0.989772,0.379413
HHS Regions,Region 9,2023,8,15144,126,28,1.0169,0.832013,0.184892
HHS Regions,Region 1,2023,9,5908,39,14,0.897089,0.660122,0.236967
HHS Regions,Region 9,2023,9,15044,94,29,0.817602,0.624834,0.192768
HHS Regions,Region 1,2023,10,5963,31,25,0.939125,0.519873,0.419252
HHS Regions,Region 9,2023,10,13319,105,38,1.07365,0.788347,0.285307
HHS Regions,Region 1,2023,11,5792,28,20,0.828729,0.483425,0.345304
HHS Regions,Region 9,2023,11,13801,66,28,0.68111,0.478226,0.202884
HHS Regions,Region 1,2023,12,5807,24,22,0.792147,0.413294,0.378853
HHS Regions,Region 9,2023,12,13004,55,33,0.676715,0.422947,0.253768
HHS Regions,Region 1,2023,13,5728,21,41,1.0824,0.36662,0.715782
HHS Regions,Region 9,2023,13,12370,62,29,0.735651,0.501213,0.234438
HHS Regions,Region 1,2023,14,5506,14,41,0.99891,0.254268,0.744642
HHS Regions,Region 9,2023,14,12053,61,25,0.713515,0.506098,0.207417
HHS Regions,Region 1,2023,15,5238,16,27,0.820924,0.30546,0.515464
HHS Regions,Region 9,2023,15,5554,25,20,0.810227,0.450126,0.360101
HHS Regions,Region 1,2023,16,4597,10,17,0.58734,0.217533,0.369806
HHS Regions,Region 9,2023,16,5329,24,9,0.619253,0.450366,0.168887
HHS Regions,Region 1,2023,17,4247,9,14,0.541559,0.211914,0.329644
HHS Regions,Region 9,2023,17,5096,29,16,0.883046,0.569074,0.313972
HHS Regions,Region 1,2023,18,3934,9,25,0.86426,0.228775,0.635486
HHS Regions,Region 9,2023,18,5028,20,25,0.894988,0.397772,0.497216
HHS Regions,Region 1,2023,19,4009,5,24,0.723372,0.124719,0.598653
HHS Regions,Region 9,2023,19,4987,19,28,0.94245,0.380991,0.56146
HHS Regions,Region 1,2023,20,3581,10,17,0.753979,0.279252,0.474728
HHS Regions,Region 9,2023,20,4895,26,37,1.28703,0.531154,0.755873
HHS Regions,Region 1,2023,21,3471,17,18,1.00835,0.489772,0.518583
HHS Regions,Region 9,2023,21,4757,34,36,1.47152,0.714736,0.756779
HHS Regions,Region 1,2023,22,3220,13,16,0.900621,0.403727,0.496894
HHS Regions,Region 9,2023,22,4664,37,36,1.56518,0.79331,0.77187
HHS Regions,Region 1,2023,23,3241,17,13,0.92564,0.524529,0.401111
HHS Regions,Region 9,2023,23,4474,44,35,1.76576,0.98346,0.782298
HHS Regions,Region 1,2023,24,3190,8,9,0.532915,0.250784,0.282132
HHS Regions,Region 9,2023,24,4289,46,29,1.74866,1.07251,0.676148
HHS Regions,Region 1,2023,25,2678,6,6,0.448096,0.224048,0.224048
HHS Regions,Region 9,2023,25,4186,41,37,1.86335,0.979455,0.883899
HHS Regions,Region 1,2023,26,2264,12,5,0.750883,0.530035,0.220848
HHS Regions,Region 9,2023,26,3679,66,38,2.82686,1.79397,1.03289
HHS Regions,Region 1,2023,27,1868,13,8,1.1242,0.695931,0.428266
HHS Regions,Region 9,2023,27,3545,61,34,2.67983,1.72073,0.959097
HHS Regions,Region 1,2023,28,1996,18,4,1.1022,0.901804,0.200401
HHS Regions,Region 9,2023,28,3691,43,34,2.08616,1.165,0.92116
HHS Regions,Region 1,2023,29,1709,9,4,0.760679,0.526624,0.234055
HHS Regions,Region 9,2023,29,3627,56,39,2.61924,1.54398,1.07527
HHS Regions,Region 1,2023,30,1854,9,3,0.647249,0.485437,0.161812
HHS Regions,Region 9,2023,30,3854,65,57,3.16554,1.68656,1.47898
HHS Regions,Region 1,2023,31,1930,5,5,0.518135,0.259067,0.259067
HHS Regions,Region 9,2023,31,3981,61,59,3.01432,1.53228,1.48204
HHS Regions,Region 1,2023,32,2217,7,1,0.360848,0.315742,0.045106
HHS Regions,Region 9,2023,32,4339,55,49,2.39687,1.26757,1.12929
HHS Regions,Region 1,2023,33,2300,13,6,0.826087,0.565217,0.26087
HHS Regions,Region 9,2023,33,4249,58,33,2.14168,1.36503,0.776653
HHS Regions,Region 1,2023,34,2424,14,3,0.70132,0.577558,0.123762
HHS Regions,Region 9,2023,34,5122,51,33,1.63998,0.995705,0.64428
HHS Regions,Region 1,2023,35,2638,10,6,0.60652,0.379075,0.227445
HHS Regions,Region 9,2023,35,5788,81,34,1.98687,1.39945,0.587422
HHS Regions,Region 1,2023,36,3222,10,3,0.403476,0.310366,0.0931099
HHS Regions,Region 9,2023,36,5491,73,40,2.05791,1.32945,0.728465
HHS Regions,Region 1,2023,37,3216,5,7,0.373134,0.155473,0.217662
HHS Regions,Region 9,2023,37,5869,89,45,2.28318,1.51644,0.766741
HHS Regions,Region 1,2023,38,3744,10,16,0.694444,0.267094,0.42735
HHS Regions,Region 9,2023,38,5893,83,64,2.49448,1.40845,1.08603
HHS Regions,Region 1,2023,39,3531,17,12,0.821297,0.48145,0.339847
HHS Regions,Region 9,2023,39,5803,79,64,2.46424,1.36136,1.10288
HHS Regions,Region 1,2023,40,5008,17,4,0.419329,0.339457,0.0798722
HHS Regions,Region 9,2023,40,5674,94,84,3.13712,1.65668,1.48044
HHS Regions,Region 1,2023,41,4739,18,13,0.654146,0.379827,0.274319
HHS Regions,Region 9,2023,41,5840,135,67,3.4589,2.31164,1.14726
HHS Regions,Region 1,2023,42,4754,19,8,0.567943,0.399663,0.168279
HHS Regions,Region 9,2023,42,6173,159,68,3.6773,2.57573,1.10157
HHS Regions,Region 1,2023,43,4834,48,13,1.26189,0.992966,0.268928
HHS Regions,Region 9,2023,43,6080,201,77,4.57237,3.30592,1.26645
HHS Regions,Region 1,2023,44,5066,79,21,1.97394,1.55942,0.414528
HHS Regions,Region 9,2023,44,11815,460,93,4.68049,3.89336,0.787135
HHS Regions,Region 1,2023,45,5637,111,39,2.66099,1.96913,0.691857
HHS Regions,Region 9,2023,45,18185,831,132,5.29557,4.5697,0.725873
HHS Regions,Region 1,2023,46,6172,162,42,3.30525,2.62476,0.680493
HHS Regions,Region 9,2023,46,20884,1173,124,6.2105,5.61674,0.593756
HHS Regions,Region 1,2023,47,6063,214,28,3.99142,3.52961,0.461818
HHS Regions,Region 9,2023,47,18655,1199,116,7.04905,6.42723,0.621817
HHS Regions,Region 1,2023,48,6968,291,51,4.90815,4.17623,0.731917
HHS Regions,Region 9,2023,48,23606,1857,172,8.59527,7.86664,0.728628
HHS Regions,Region 1,2023,49,7371,443,67,6.91901,6.01004,0.908968
HHS Regions,Region 9,2023,49,25913,2822,187,11.6119,10.8903,0.721646
HHS Regions,Region 1,2023,50,7617,672,65,9.67573,8.82237,0.853354
HHS Regions,Region 9,2023,50,28913,3908,249,14.3776,13.5164,0.861204
HHS Regions,Region 1,2023,51,8487,1047,82,13.3027,12.3365,0.966184
HHS Regions,Region 9,2023,51,33887,5646,347,17.6852,16.6613,1.02399
HHS Regions,Region 1,2023,52,9546,1454,75,16.0172,15.2315,0.785669
HHS Regions,Region 9,2023,52,30942,4537,336,15.7488,14.6629,1.0859
HHS Regions,Region 1,2024,1,9489,1053,79,11.9296,11.0971,0.832543
HHS Regions,Region 9,2024,1,29579,3378,276,12.3534,11.4203,0.933094
HHS Regions,Region 1,2024,2,8331,944,77,12.2554,11.3312,0.924259
HHS Regions,Region 9,2024,2,27602,2586,285,10.4014,9.36889,1.03253
HHS Regions,Region 1,2024,3,7322,902,77,13.3707,12.319,1.05163
HHS Regions,Region 9,2024,3,25172,2557,390,11.7075,10.1581,1.54934
HHS Regions,Region 1,2024,4,7415,1017,71,14.673,13.7154,0.957519
HHS Regions,Region 9,2024,4,24461,1947,456,9.8238,7.95961,1.86419
HHS Regions,Region 1,2024,5,7617,1073,104,15.4523,14.0869,1.36537
HHS Regions,Region 9,2024,5,23012,1438,452,8.21311,6.24891,1.96419
HHS Regions,Region 1,2024,6,7685,1129,143,16.5517,14.691,1.86077
HHS Regions,Region 9,2024,6,21251,942,380,6.22088,4.43273,1.78815
HHS Regions,Region 1,2024,7,7344,1047,160,16.4352,14.2565,2.17865
HHS Regions,Region 9,2024,7,21894,991,480,6.71874,4.52635,2.19238
HHS Regions,Region 1,2024,8,7006,915,192,15.8007,13.0602,2.74051
HHS Regions,Region 9,2024,8,20677,748,455,5.81806,3.61755,2.20051
HHS Regions,Region 1,2024,9,6856,856,197,15.3588,12.4854,2.8734
HHS Regions,Region 9,2024,9,18928,674,434,5.85376,3.56086,2.2929
HHS Regions,Region 1,2024,10,6418,765,203,15.0826,11.9196,3.16298
HHS Regions,Region 9,2024,10,19080,595,394,5.18344,3.11845,2.06499
HHS Regions,Region 1,2024,11,5962,453,168,10.416,7.59812,2.81785
HHS Regions,Region 9,2024,11,18440,516,421,5.08134,2.79826,2.28308
HHS Regions,Region 1,2024,12,5787,412,183,10.2817,7.11941,3.16226
HHS Regions,Region 9,2024,12,17684,512,426,5.30423,2.89527,2.40896
HHS Regions,Region 1,2024,13,5702,325,219,9.54051,5.69975,3.84076
HHS Regions,Region 9,2024,13,16506,399,330,4.41658,2.4173,1.99927
HHS Regions,Region 1,2024,14,5510,298,191,8.87477,5.40835,3.46642
HHS Regions,Region 9,2024,14,15604,376,285,4.23609,2.40964,1.82645
HHS Regions,Region 1,2024,15,5468,235,193,7.82736,4.29773,3.52963
HHS Regions,Region 9,2024,15,15881,381,282,4.1748,2.39909,1.77571
HHS Regions,Region 1,2024,16,4661,168,127,6.32911,3.60438,2.72474
HHS Regions,Region 9,2024,16,15501,465,267,4.72228,2.99981,1.72247
HHS Regions,Region 1,2024,17,4369,137,80,4.96681,3.13573,1.83108
HHS Regions,Region 9,2024,17,14410,357,227,4.05274,2.47745,1.57529
HHS Regions,Region 1,2024,18,4092,110,79,4.61877,2.68817,1.9306
HHS Regions,Region 9,2024,18,9473,192,173,3.85306,2.02681,1.82624
HHS Regions,Region 1,2024,19,4108,72,48,2.92113,1.75268,1.16845
HHS Regions,Region 9,2024,19,4741,102,76,3.75448,2.15144,1.60304
HHS Regions,Region 1,2024,20,3918,45,31,1.93977,1.14855,0.79122
HHS Regions,Region 9,2024,20,4609,54,82,2.95075,1.17162,1.77913
HHS Regions,Region 1,2024,21,3832,39,21,1.56576,1.01775,0.548017
HHS Regions,Region 9,2024,21,4712,85,90,3.71392,1.8039,1.91002
HHS Regions,Region 1,2024,22,3496,31,22,1.51602,0.886728,0.629291
HHS Regions,Region 9,2024,22,4855,108,72,3.70752,2.22451,1.48301
HHS Regions,Region 1,2024,23,2993,16,6,0.735048,0.534581,0.200468
HHS Regions,Region 9,2024,23,4549,116,58,3.82502,2.55001,1.27501
HHS Regions,Region 1,2024,24,2866,18,4,0.76762,0.628053,0.139567
HHS Regions,Region 9,2024,24,4702,92,41,2.82858,1.95661,0.871969
HHS Regions,Region 1,2024,25,2884,17,2,0.658807,0.589459,0.0693481
HHS Regions,Region 9,2024,25,4248,84,31,2.70716,1.9774,0.729755
HHS Regions,Region 1,2024,26,2906,21,3,0.825877,0.722643,0.103235
HHS Regions,Region 9,2024,26,2707,57,16,2.69671,2.10565,0.59106
HHS Regions,Region 1,2024,27,2858,19,1,0.69979,0.664801,0.0349895
HHS Regions,Region 9,2024,27,3680,101,9,2.98913,2.74457,0.244565
HHS Regions,Region 1,2024,28,3138,20,1,0.669216,0.637349,0.0318674
HHS Regions,Region 9,2024,28,3809,96,4,2.62536,2.52035,0.105014
HHS Regions,Region 1,2024,29,2996,17,1,0.600801,0.567423,0.0333778
HHS Regions,Region 9,2024,29,3727,87,6,2.4953,2.33432,0.160987
HHS Regions,Region 1,2024,30,3257,11,1,0.368437,0.337734,0.0307031
HHS Regions,Region 9,2024,30,3559,77,4,2.27592,2.16353,0.112391
HHS Regions,Region 1,2024,31,3419,16,1,0.497221,0.467973,0.0292483
HHS Regions,Region 9,2024,31,3774,76,8,2.22576,2.01378,0.211977
HHS Regions,Region 1,2024,32,3582,11,0,0.307091,0.307091,0
HHS Regions,Region 9,2024,32,3742,56,6,1.65687,1.49653,0.160342
HHS Regions,Region 1,2024,33,3668,5,5,0.272628,0.136314,0.136314
HHS Regions,Region 9,2024,33,3952,51,4,1.3917,1.29049,0.101215
HHS Regions,Region 1,2024,34,3740,9,2,0.294118,0.240642,0.0534759
HHS Regions,Region 9,2024,34,4113,59,4,1.53173,1.43448,0.0972526
HHS Regions,Region 1,2024,35,3644,4,7,0.301866,0.109769,0.192097
HHS Regions,Region 9,2024,35,4117,58,4,1.50595,1.40879,0.0971581
HHS Regions,Region 1,2024,36,3792,17,4,0.553797,0.448312,0.105485
HHS Regions,Region 9,2024,36,3902,61,1,1.58893,1.5633,0.0256279
HHS Regions,Region 1,2024,37,4255,14,3,0.39953,0.329025,0.0705053
HHS Regions,Region 9,2024,37,4369,61,1,1.41909,1.3962,0.0228885
HHS Regions,Region 1,2024,38,4921,8,5,0.264174,0.162569,0.101605
HHS Regions,Region 9,2024,38,4096,59,1,1.46484,1.44043,0.0244141
HHS Regions,Region 1,2024,39,4686,8,7,0.320102,0.170721,0.149381
HHS Regions,Region 9,2024,39,4057,52,9,1.50357,1.28174,0.221839
HHS Regions,Region 1,2024,40,4884,16,3,0.389025,0.3276,0.0614251
HHS Regions,Region 9,2024,40,8413,139,5,1.71164,1.6522,0.0594318
HHS Regions,Region 1,2024,41,4896,9,4,0.265523,0.183824,0.0816993
HHS Regions,Region 9,2024,41,11989,168,10,1.48469,1.40128,0.0834098
HHS Regions,Region 1,2024,42,4921,14,4,0.365779,0.284495,0.0812843
HHS Regions,Region 9,2024,42,12259,182,13,1.59067,1.48462,0.106045
HHS Regions,Region 1,2024,43,5344,32,9,0.767216,0.598802,0.168413
HHS Regions,Region 9,2024,43,12954,250,11,2.01482,1.92991,0.0849159
HHS Regions,Region 1,2024,44,4685,26,9,0.747065,0.554963,0.192102
HHS Regions,Region 9,2024,44,13123,300,15,2.40037,2.28606,0.114303
HHS Regions,Region 1,2024,45,5055,30,8,0.751731,0.593472,0.158259
HHS Regions,Region 9,2024,45,14946,432,28,3.07775,2.89041,0.187341
HHS Regions,Region 1,2024,46,4923,22,11,0.670323,0.446882,0.223441
HHS Regions,Region 9,2024,46,15962,702,44,4.6736,4.39795,0.275655
HHS Regions,Region 1,2024,47,5267,32,17,0.930321,0.607556,0.322764
HHS Regions,Region 9,2024,47,17458,1031,66,6.28365,5.9056,0.37805
HHS Regions,Region 1,2024,48,5024,53,8,1.21417,1.05494,0.159236
HHS Regions,Region 9,2024,48,16746,1415,84,8.95139,8.44978,0.501612
HHS Regions,Region 1,2024,49,5921,103,22,2.11113,1.73957,0.371559
HHS Regions,Region 9,2024,49,20976,1991,119,10.0591,9.4918,0.567315
HHS Regions,Region 1,2024,50,6021,204,37,4.00266,3.38814,0.614516
HHS Regions,Region 9,2024,50,23366,3046,186,13.8321,13.036,0.796028
HHS Regions,Region 1,2024,51,6428,346,44,6.06721,5.3827,0.684505
HHS Regions,Region 9,2024,51,29208,5517,251,19.748,18.8887,0.859354
HHS Regions,Region 1,2024,52,7134,739,57,11.1578,10.3588,0.798991
HHS Regions,Region 9,2024,52,31082,6647,289,22.3152,21.3854,0.929799
HHS Regions,Region 1,2025,1,8546,1168,76,14.5565,13.6672,0.889305
HHS Regions,Region 9,2025,1,32126,6287,293,20.4819,19.5698,0.912034
HHS Regions,Region 1,2025,2,7828,1189,69,16.0705,15.1891,0.881451
HHS Regions,Region 9,2025,2,33127,6230,339,19.8297,18.8064,1.02333
HHS Regions,Region 1,2025,3,8829,1864,111,22.3695,21.1122,1.25722
HHS Regions,Region 9,2025,3,33450,7209,403,22.7564,21.5516,1.20478
HHS Regions,Region 1,2025,4,9453,2706,141,30.1174,28.6258,1.49159
HHS Regions,Region 9,2025,4,35139,8287,627,25.3678,23.5835,1.78434
HHS Regions,Region 1,2025,5,11041,3422,197,32.7778,30.9936,1.78426
HHS Regions,Region 9,2025,5,40405,9716,1041,26.6229,24.0465,2.57641
HHS Regions,Region 1,2025,6,10924,3409,279,33.7605,31.2065,2.55401
HHS Regions,Region 9,2025,6,39779,8794,1417,25.6693,22.1071,3.56218
HHS Regions,Region 1,2025,7,10102,2688,287,29.4496,26.6086,2.84102
HHS Regions,Region 9,2025,7,36066,6459,1643,22.4644,17.9088,4.55554
HHS Regions,Region 1,2025,8,8642,1821,313,24.6934,21.0715,3.62185
HHS Regions,Region 9,2025,8,30864,4257,1776,19.547,13.7928,5.75428
HHS Regions,Region 1,2025,9,8193,1225,334,19.0284,14.9518,4.07665
HHS Regions,Region 9,2025,9,26859,2747,1597,16.1733,10.2275,5.94587
HHS Regions,Region 1,2025,10,7316,897,427,18.0973,12.2608,5.83652
HHS Regions,Region 9,2025,10,22723,1709,1437,13.845,7.52101,6.32399
HHS Regions,Region 1,2025,11,7025,596,502,15.6299,8.48399,7.14591
HHS Regions,Region 9,2025,11,21518,1353,1349,12.5569,6.28776,6.26917
HHS Regions,Region 1,2025,12,6499,393,517,14.0022,6.04708,7.95507
HHS Regions,Region 9,2025,12,20234,973,1418,11.8167,4.80874,7.00801
HHS Regions,Region 1,2025,13,6059,242,507,12.3618,3.99406,8.36772
HHS Regions,Region 9,2025,13,18408,712,1329,11.0876,3.86788,7.21969
HHS Regions,Region 1,2025,14,5780,189,443,10.9343,3.2699,7.66436
HHS Regions,Region 9,2025,14,16694,566,1081,9.86582,3.39044,6.47538
HHS Regions,Region 1,2025,15,5507,125,409,9.69675,2.26984,7.42691
HHS Regions,Region 9,2025,15,16040,405,954,8.47257,2.52494,5.94763
HHS Regions,Region 1,2025,16,5032,94,337,8.56518,1.86804,6.69714
HHS Regions,Region 9,2025,16,14549,272,764,7.12076,1.86954,5.25122
HHS Regions,Region 1,2025,17,4627,70,192,5.66242,1.51286,4.14956
HHS Regions,Region 9,2025,17,13460,245,656,6.69391,1.82021,4.8737
HHS Regions,Region 1,2025,18,4365,31,126,3.59679,0.710195,2.8866
HHS Regions,Region 9,2025,18,9853,149,401,5.58206,1.51223,4.06983
HHS Regions,Region 1,2025,19,4017,11,81,2.29027,0.273836,2.01643
HHS Regions,Region 9,2025,19,4494,85,155,5.34045,1.89141,3.44904
HHS Regions,Region 1,2025,20,3871,14,44,1.49832,0.361664,1.13666
HHS Regions,Region 9,2025,20,4447,49,156,4.60985,1.10187,3.50798
HHS Regions,Region 1,2025,21,3718,12,24,0.968263,0.322754,0.645508
HHS Regions,Region 9,2025,21,4401,51,139,4.3172,1.15883,3.15837
HHS Regions,Region 1,2025,22,3666,15,18,0.900164,0.409165,0.490998
HHS Regions,Region 9,2025,22,4007,62,101,4.06788,1.54729,2.52059
HHS Regions,Region 1,2025,23,3592,13,9,0.612472,0.361915,0.250557
HHS Regions,Region 9,2025,23,4318,49,97,3.38119,1.13478,2.24641
HHS Regions,Region 1,2025,24,3241,11,7,0.555384,0.339401,0.215983
HHS Regions,Region 9,2025,24,3751,28,63,2.42602,0.746468,1.67955
HHS Regions,Region 1,2025,25,3048,9,4,0.426509,0.295276,0.131234
HHS Regions,Region 9,2025,25,3620,27,39,1.8232,0.745856,1.07735
HHS Regions,Region 1,2025,26,2993,10,3,0.434347,0.334113,0.100234
HHS Regions,Region 9,2025,26,2462,27,25,2.1121,1.09667,1.01543
HHS Regions,Region 1,2025,27,2586,10,1,0.425367,0.386698,0.0386698
HHS Regions,Region 9,2025,27,3178,28,15,1.35305,0.881057,0.471995
HHS Regions,Region 1,2025,28,2588,11,0,0.425039,0.425039,0
HHS Regions,Region 9,2025,28,3212,33,25,1.80573,1.0274,0.778331
HHS Regions,Region 1,2025,29,2534,7,1,0.315706,0.276243,0.0394633
HHS Regions,Region 9,2025,29,2936,29,20,1.66894,0.987738,0.681199
HHS Regions,Region 1,2025,30,2560,9,1,0.390625,0.351563,0.0390625
HHS Regions,Region 9,2025,30,2971,18,16,1.1444,0.605857,0.538539
HHS Regions,Region 1,2025,31,2547,10,2,0.471143,0.392619,0.0785238
HHS Regions,Region 9,2025,31,3134,31,4,1.11678,0.989151,0.127632
HHS Regions,Region 1,2025,32,2820,12,2,0.496454,0.425532,0.070922
HHS Regions,Region 9,2025,32,3135,23,5,0.893142,0.733652,0.15949
HHS Regions,Region 1,2025,33,2836,5,0,0.176305,0.176305,0
HHS Regions,Region 9,2025,33,3535,33,2,0.990099,0.933522,0.0565771
HHS Regions,Region 1,2025,34,2993,2,0,0.0668226,0.0668226,0
HHS Regions,Region 9,2025,34,3863,32,3,0.906032,0.828372,0.0776598
HHS Regions,Region 1,2025,35,3182,14,0,0.439975,0.439975,0
HHS Regions,Region 9,2025,35,4070,24,6,0.737101,0.589681,0.14742
HHS Regions,Region 1,2025,36,3431,15,1,0.466336,0.43719,0.029146
HHS Regions,Region 9,2025,36,3953,50,2,1.31546,1.26486,0.0505945
HHS Regions,Region 1,2025,37,3476,7,1,0.23015,0.201381,0.0287687
HHS Regions,Region 9,2025,37,4027,29,8,0.918798,0.720139,0.198659
HHS Regions,Region 1,2025,38,3862,9,0,0.23304,0.23304,0
HHS Regions,Region 9,2025,38,4139,26,5,0.748973,0.628171,0.120802
